symbol,date,direction,psi,entry,exit,bars_held,exhausted,ret_pct,relvol,psi_bin,rv_bin
BTC/USDT,2024-09-01,LONG,0.6977,57296.1,57484.0,2,True,0.3279,1.1055,.60-.70,1-1.5x
BTC/USDT,2024-09-02,LONG,0.5797,59143.2,57484.0,1,True,-2.8054,1.222,.55-.60,1-1.5x
BTC/USDT,2024-09-06,LONG,0.5536,53958.8,54875.9,2,True,1.6996,1.4441,.55-.60,1-1.5x
BTC/USDT,2024-09-09,LONG,0.7465,57030.8,59991.8,5,False,5.1919,1.3693,.70-.80,1-1.5x
BTC/USDT,2024-09-17,LONG,0.5658,60314.6,63574.2,5,False,5.4043,1.5162,.55-.60,1.5-2x
BTC/USDT,2024-10-04,LONG,0.7841,62094.1,62058.6,1,True,-0.0572,1.1036,.70-.80,1-1.5x
BTC/USDT,2024-10-11,LONG,0.6854,62546.0,66089.8,3,True,5.6659,1.8979,.60-.70,1.5-2x
BTC/USDT,2024-10-21,LONG,0.6385,67371.7,67421.2,1,True,0.0735,1.3426,.60-.70,1-1.5x
BTC/USDT,2024-10-28,LONG,0.8322,69961.2,72345.2,2,True,3.4076,1.4481,>.80,1-1.5x
BTC/USDT,2024-11-10,LONG,0.6249,80360.0,87944.5,2,True,9.4382,1.7581,.60-.70,1.5-2x
BTC/USDT,2024-11-11,LONG,0.634,88640.0,87944.5,1,True,-0.7846,3.0003,.60-.70,3-5x
BTC/USDT,2024-11-15,LONG,0.9401,91022.9,94286.8,5,False,3.5858,1.1895,>.80,1-1.5x
BTC/USDT,2024-11-25,LONG,0.713,93002.0,91960.1,1,True,-1.1203,1.3634,.70-.80,1-1.5x
BTC/USDT,2024-11-27,LONG,0.6337,95848.1,96409.0,3,True,0.5852,1.2662,.60-.70,1-1.5x
BTC/USDT,2024-12-09,LONG,0.7425,97267.2,96593.2,1,True,-0.6929,1.5804,.70-.80,1.5-2x
BTC/USDT,2024-12-15,LONG,0.5901,104477.4,106066.0,1,True,1.5205,1.3923,.55-.60,1-1.5x
BTC/USDT,2024-12-18,LONG,0.7951,100213.1,97806.4,2,True,-2.4016,2.3254,.70-.80,2-3x
