symbol,date,direction,psi,entry,exit,bars_held,exhausted,ret_pct,relvol,psi_bin,rv_bin
BTC/USDT,2024-08-29,LONG,0.7437,59352.1,57484.0,5,False,-3.1475,0.2043,.70-.80,
BTC/USDT,2024-08-30,LONG,0.6749,59135.6,57970.0,5,False,-1.9711,0.1383,.60-.70,
BTC/USDT,2024-08-31,LONG,0.7031,58974.5,57970.0,4,True,-1.7033,0.1087,.70-.80,
BTC/USDT,2024-09-03,LONG,0.6659,57484.0,57970.0,1,True,0.8455,1.0711,.60-.70,1-1.5x
BTC/USDT,2024-09-05,LONG,0.7324,56176.0,54155.8,2,True,-3.5962,1.1798,.70-.80,1-1.5x
BTC/USDT,2024-09-14,LONG,0.5987,59991.8,61767.7,4,True,2.9602,0.3296,.55-.60,
BTC/USDT,2024-09-24,LONG,0.6698,64275.8,63154.9,1,True,-1.7439,0.6934,.60-.70,
BTC/USDT,2024-09-28,LONG,0.6184,65853.3,65603.5,1,True,-0.3793,0.0664,.60-.70,
BTC/USDT,2024-10-01,LONG,0.7288,60814.5,60753.8,2,True,-0.0998,1.8347,.70-.80,1.5-2x
BTC/USDT,2024-10-14,LONG,0.6118,66089.8,67426.5,3,True,2.0226,2.2731,.60-.70,2-3x
BTC/USDT,2024-10-16,LONG,0.5733,67614.3,67426.5,1,True,-0.2778,0.3806,.55-.60,
BTC/USDT,2024-10-22,LONG,0.6699,67421.2,66666.0,1,True,-1.1201,0.0411,.60-.70,
BTC/USDT,2024-10-24,LONG,0.804,68198.5,67095.9,2,True,-1.6168,1.2559,>.80,1-1.5x
BTC/USDT,2024-10-27,LONG,0.8417,68022.9,69961.2,1,True,2.8495,0.7269,>.80,
BTC/USDT,2024-11-03,LONG,0.634,68769.3,76499.1,5,False,11.2402,0.4925,.60-.70,
BTC/USDT,2024-11-04,LONG,0.7703,67850.0,76499.1,4,True,12.7474,0.7566,.70-.80,
BTC/USDT,2024-11-06,LONG,0.7193,75584.8,76499.1,2,True,1.2096,3.3401,.70-.80,3-5x
BTC/USDT,2024-11-07,LONG,0.6925,75860.3,76499.1,1,True,0.8421,0.1363,.60-.70,
BTC/USDT,2024-11-12,LONG,0.5596,87944.5,91022.9,3,True,3.5004,0.2293,.55-.60,
BTC/USDT,2024-11-30,LONG,0.5859,96409.0,96960.0,5,False,0.5715,0.3276,.55-.60,
BTC/USDT,2024-12-02,LONG,0.6476,95828.1,99835.4,5,False,4.1818,0.5707,.60-.70,
BTC/USDT,2024-12-03,LONG,0.6155,95857.3,99835.4,4,True,4.15,0.0127,.60-.70,
BTC/USDT,2024-12-11,LONG,0.561,101117.4,101418.6,2,True,0.2979,1.943,.55-.60,1.5-2x
BTC/USDT,2024-12-21,LONG,0.8595,97283.3,94884.1,2,True,-2.4662,0.2193,>.80,
BTC/USDT,2024-12-22,LONG,0.6341,95173.4,94884.1,1,True,-0.304,0.8785,.60-.70,
BTC/USDT,2024-12-27,LONG,0.7075,94304.1,92796.4,3,True,-1.5988,0.5949,.70-.80,
BTC/USDT,2024-12-28,LONG,0.7309,95305.3,92796.4,2,True,-2.6325,0.41,.70-.80,
BTC/USDT,2025-01-08,LONG,0.5612,95037.0,94726.5,2,True,-0.3267,0.8721,.55-.60,
BTC/USDT,2025-01-09,LONG,0.6094,92553.1,94726.5,1,True,2.3483,1.1187,.60-.70,1-1.5x
BTC/USDT,2025-01-12,LONG,0.7529,94549.9,94538.5,1,True,-0.0121,0.0281,.70-.80,
BTC/USDT,2025-01-20,LONG,0.6765,102264.3,103704.1,2,True,1.4079,0.3786,.60-.70,
BTC/USDT,2025-01-23,LONG,0.8253,103914.8,102076.1,4,True,-1.7694,0.0792,>.80,
BTC/USDT,2025-01-24,LONG,0.5987,104866.1,102076.1,3,True,-2.6605,0.3567,.55-.60,
BTC/USDT,2025-01-28,LONG,0.6153,101349.3,104727.2,2,True,3.3329,0.338,.60-.70,
BTC/USDT,2025-01-29,LONG,0.6871,103733.3,104727.2,1,True,0.9581,1.1582,.60-.70,1-1.5x
BTC/USDT,2025-02-01,LONG,0.6439,100633.2,101337.5,2,True,0.6999,0.827,.60-.70,
BTC/USDT,2025-02-02,LONG,0.8977,97698.9,101337.5,1,True,3.7243,1.2944,>.80,1-1.5x
BTC/USDT,2025-02-05,LONG,0.6428,96616.1,96554.7,1,True,-0.0636,0.5062,.60-.70,
BTC/USDT,2025-02-07,LONG,0.6556,96504.1,95779.9,4,True,-0.7504,0.025,.60-.70,
BTC/USDT,2025-02-09,LONG,0.9273,96475.9,95779.9,2,True,-0.7214,0.0093,>.80,
BTC/USDT,2025-02-10,LONG,0.7032,97431.7,95779.9,1,True,-1.6953,0.5612,.70-.80,
BTC/USDT,2025-02-17,LONG,0.7474,95778.3,98307.9,3,True,2.6411,0.1876,.70-.80,
BTC/USDT,2025-02-18,LONG,0.5564,95656.6,98307.9,2,True,2.7717,0.0744,.55-.60,
BTC/USDT,2025-02-25,LONG,0.7346,88680.7,86056.1,4,True,-2.9596,1.8671,.70-.80,1.5-2x
BTC/USDT,2025-02-27,LONG,0.6016,84717.4,86056.1,2,True,1.5802,0.2793,.60-.70,
BTC/USDT,2025-02-28,LONG,0.6837,84339.4,86056.1,1,True,2.0355,0.2271,.60-.70,
BTC/USDT,2025-03-02,LONG,0.6968,94269.5,86219.7,1,True,-8.5391,3.1379,.60-.70,3-5x
BTC/USDT,2025-03-04,LONG,0.6658,87277.9,86797.1,3,True,-0.5509,0.3471,.60-.70,
BTC/USDT,2025-03-05,LONG,0.5814,90608.7,86797.1,2,True,-4.2067,1.0428,.55-.60,1-1.5x
BTC/USDT,2025-03-09,LONG,0.5647,80743.3,78595.8,1,True,-2.6597,1.6169,.55-.60,1.5-2x
BTC/USDT,2025-03-12,LONG,0.6808,83691.9,83988.7,2,True,0.3546,0.2165,.60-.70,
BTC/USDT,2025-03-13,LONG,0.597,81119.5,83988.7,1,True,3.537,0.7336,.55-.60,
BTC/USDT,2025-03-15,LONG,0.5607,84342.0,84225.9,5,False,-0.1377,0.0978,.55-.60,
BTC/USDT,2025-03-16,LONG,0.5874,82578.1,84086.5,5,False,1.8266,0.4986,.55-.60,
BTC/USDT,2025-03-20,LONG,0.5552,84225.9,86083.3,3,True,2.2053,0.7097,.55-.60,
BTC/USDT,2025-03-21,LONG,0.5787,84086.5,86083.3,2,True,2.3747,0.0392,.55-.60,
