symbol,n,accuracy,mean_ret
HYPE/USDT,1550,49.806451612903224,0.008912457419354834
SOL/USDT,1769,48.04974561899378,-0.014356542679479944
ETH/USDT,1801,46.97390338700722,-0.0193302953914492
BNB/USDT,1391,46.80086268871316,-0.01806847232207046
BTC/USDT,1860,46.666666666666664,-0.027234581720430105
ZEC/USDT,1812,46.63355408388521,-0.05565399006622518
XRP/USDT,1747,45.392100744132804,-0.02373441900400687
DOGE/USDT,1371,44.85776805251641,-0.04084354048140044
ADA/USDT,1311,44.24103737604882,-0.05312014797864226
NEAR/USDT,1608,44.15422885572139,-0.04058082089552238
SUI/USDT,1260,43.25396825396825,-0.03934108333333334
XLM/USDT,1403,43.19315751960085,-0.08340465431218816
HBAR/USDT,945,42.96296296296296,-0.010083371428571426
PENGU/USDT,698,42.83667621776504,0.04829309455587393
CRV/USDT,347,42.363112391930834,0.18485128818443802
AVAX/USDT,1206,42.12271973466004,-0.0423840912106136
LTC/USDT,1109,41.92966636609558,-0.03404227412082957
INJ/USDT,732,41.39344262295082,-0.05560619535519127
UNI/USDT,545,41.284403669724774,-0.03943104036697251
ATOM/USDT,728,41.208791208791204,-0.04177347390109891
LINK/USDT,1154,40.98786828422877,-0.0497209965337955
FET/USDT,1110,40.27027027027027,-0.10356152612612612
APE/USDT,404,39.35643564356436,0.060408425742574254
DASH/USDT,488,39.34426229508197,0.06165755532786886
CAKE/USDT,163,39.263803680981596,0.18842769325153372
BCH/USDT,557,38.95870736086176,-0.05658810771992818
RENDER/USDT,619,38.44911147011308,-0.06035520193861067
BONK/USDT,329,37.99392097264438,0.051372346504559276
FIL/USDT,437,37.29977116704806,-0.1895001075514874
FLOKI/USDT,343,36.734693877551024,0.07879144023323616
DOT/USDT,507,36.29191321499014,-0.1167279171597633
ICP/USDT,476,35.924369747899156,-0.14399057142857144
PEPE/USDT,517,34.04255319148936,-0.009267421663442932
SHIB/USDT,520,33.46153846153846,-0.017611986538461542
COMP/USDT,71,32.3943661971831,0.49324495774647886
ALGO/USDT,443,32.05417607223476,0.01150266365688488
BAT/USDT,143,31.46853146853147,-0.03368844055944057
WLD/USDT,293,31.058020477815703,0.007882515358361765
AAVE/USDT,117,30.76923076923077,0.019265316239316262
OP/USDT,284,30.633802816901408,-0.02061472887323944
ARB/USDT,212,29.71698113207547,0.060581287735849046
ETC/USDT,201,29.35323383084577,0.06319062189054724
ONDO/USDT,332,29.21686746987952,-0.25466885843373493
SUSHI/USDT,28,28.57142857142857,0.6310316428571429
TRX/USDT,423,27.18676122931442,-0.10383297872340423
RVN/USDT,167,26.34730538922156,-0.006566502994011984
GRT/USDT,506,26.284584980237153,-0.04095977272727272
QNT/USDT,71,25.352112676056336,-0.14971025352112677
ENA/USDT,106,24.528301886792452,0.05308475471698107
1INCH/USDT,37,24.324324324324326,-0.03194564864864865
VET/USDT,185,23.243243243243246,-0.05848005405405405
ZRX/USDT,73,21.91780821917808,0.17954235616438355
IOTA/USDT,239,21.338912133891213,-0.18916731380753138
TRUMP/USDT,208,20.192307692307693,-0.42725935576923085
THETA/USDT,134,20.149253731343283,-0.07092748507462687
LDO/USDT,37,18.91891891891892,0.0633624054054054
ONT/USDT,80,17.5,0.19213604999999997
QTUM/USDT,23,17.391304347826086,1.9227884347826087
XDC/USDT,191,17.277486910994764,-0.2163131937172775
DGB/USDT,90,16.666666666666664,0.10367724444444448
VIRTUAL/USDT,49,16.3265306122449,5.485835408163265
ZEN/USDT,80,16.25,-0.026166725000000012
ONE/USDT,112,16.071428571428573,-0.06986522321428572
ZIL/USDT,103,15.53398058252427,-0.2552987766990291
FARTCOIN/USDT,7,14.285714285714285,-0.5410137142857143
ASTR/USDT,7,14.285714285714285,0.19925742857142859
ANKR/USDT,7,14.285714285714285,0.795756
TIA/USDT,72,13.88888888888889,-0.07427016666666668
CHZ/USDT,112,13.392857142857142,-0.0871644017857143
WIF/USDT,39,12.82051282051282,0.1398935641025641
GALA/USDT,40,12.5,-0.03249215000000001
ENJ/USDT,16,12.5,2.935576
VTHO/USDT,97,12.371134020618557,-0.1517073608247423
APT/USDT,101,10.891089108910892,-0.648049594059406
AXS/USDT,10,10.0,0.4262295
YFI/USDT,31,9.67741935483871,-0.30312129032258067
CELR/USDT,21,9.523809523809524,0.006214428571428573
NEO/USDT,98,9.183673469387756,-0.08837672448979592
MANA/USDT,60,8.333333333333332,-0.24818311666666668
AUDIO/USDT,49,8.16326530612245,-1.8125257346938775
SEI/USDT,64,7.8125,-0.236466484375
JTO/USDT,43,6.976744186046512,-0.34688944186046516
KSM/USDT,25,4.0,0.02029856
KNC/USDT,8,0.0,0.0
COTI/USDT,14,0.0,-0.41540785714285716
CTSI/USDT,10,0.0,0.0
STORJ/USDT,8,0.0,0.0
EGLD/USDT,6,0.0,0.0
SAND/USDT,5,0.0,-1.4936248
EIGEN/USDT,6,0.0,0.0
RLC/USDT,6,0.0,0.0
ENS/USDT,10,0.0,0.0
FLOW/USDT,7,0.0,0.0
IMX/USDT,10,0.0,-0.8254568000000001
ME/USDT,9,0.0,-0.035727
JUP/USDT,16,0.0,-0.519662875
KAVA/USDT,28,0.0,-0.9835327142857143
SNX/USDT,6,0.0,0.0
