symbol,n_bars,n_trades,win_rate,avg_ret
QTUM/USDT,18705,18644,3.18,0.180103
ASTR/USDT,15702,15641,1.94,0.15827
ENJ/USDT,13277,13216,3.11,0.127083
WLD/USDT,17970,17909,19.81,0.120056
GRT/USDT,18704,18643,23.31,0.094486
ENS/USDT,18382,18321,1.92,0.088236
AXS/USDT,15704,15643,2.79,0.084165
NMR/USDT,16342,16281,0.74,0.072248
GALA/USDT,18422,18361,7.06,0.070467
LSK/USDT,15048,14987,0.4,0.066724
UNI/USDT,18704,18643,18.91,0.057955
ZRX/USDT,18675,18614,4.84,0.055814
KNC/USDT,18487,18426,1.96,0.043858
ZEN/USDT,18706,18645,7.19,0.043469
1INCH/USDT,16283,16222,4.96,0.039497
IMX/USDT,15713,15652,3.11,0.039118
ONE/USDT,18480,18419,11.77,0.035774
ETC/USDT,18704,18643,15.12,0.034288
STORJ/USDT,14989,14928,2.42,0.033597
JTO/USDT,15833,15772,6.89,0.033077
BCH/USDT,18704,18643,27.59,0.025953
SHIB/USDT,18705,18644,17.31,0.022681
LDO/USDT,18704,18643,3.7,0.02247
WIF/USDT,3676,3615,1.83,0.021161
INJ/USDT,18704,18643,24.65,0.02056
TIA/USDT,18704,18643,6.17,0.020528
EIGEN/USDT,18589,18528,0.75,0.019714
APE/USDT,18705,18644,17.93,0.017571
TLM/USDT,13413,13352,0.46,0.017111
CHZ/USDT,17520,17459,11.85,0.014449
EGLD/USDT,14206,14145,1.7,0.013512
DOGE/USDT,18705,18644,29.07,0.011946
THETA/USDT,17606,17545,6.25,0.009905
COMP/USDT,18671,18610,3.82,0.007589
DASH/USDT,18705,18644,22.57,0.007111
VET/USDT,18704,18643,12.61,0.00524
CELO/USDT,18706,18645,0.14,0.005155
SOL/USDT,18704,18643,38.31,0.001976
ONDO/USDT,18705,18644,19.34,0.000234
AIXBT/USDT,4496,4435,0.0,0.0
PENGU/USDT,18706,18645,32.13,-0.000275
LTC/USDT,18704,18643,26.71,-0.000842
JUP/USDT,15683,15622,2.52,-0.002365
CRV/USDT,17775,17714,23.04,-0.004491
BONK/USDT,18705,18644,14.69,-0.005209
ADA/USDT,18704,18643,30.59,-0.007024
ETH/USDT,18704,18643,47.0,-0.008366
ZEC/USDT,18705,18644,43.01,-0.009489
BTC/USDT,18704,18643,48.15,-0.009504
NEIRO/USDT,15697,15636,0.77,-0.009635
XRP/USDT,18704,18643,37.4,-0.010521
HBAR/USDT,18704,18643,25.99,-0.011097
TRUMP/USDT,18486,18425,15.7,-0.01303
ICP/USDT,18704,18643,19.42,-0.013516
XDC/USDT,18705,18644,14.85,-0.01529
PEPE/USDT,18705,18644,19.94,-0.018149
BNB/USDT,18704,18643,28.83,-0.018191
AVAX/USDT,18704,18643,35.58,-0.018768
SUI/USDT,18704,18643,29.31,-0.021499
XLM/USDT,18704,18643,35.92,-0.021601
NEAR/USDT,18704,18643,33.14,-0.02242
GIGA/USDT,17721,17660,0.69,-0.023693
ONT/USDT,17253,17192,7.41,-0.028261
ARB/USDT,18704,18643,11.55,-0.031339
LINK/USDT,18704,18643,33.15,-0.032119
RLC/USDT,9864,9803,0.02,-0.032297
HYPE/USDT,18706,18645,36.33,-0.032541
CTSI/USDT,17661,17600,1.82,-0.033703
AAVE/USDT,18704,18643,8.6,-0.036449
TRX/USDT,18704,18643,15.96,-0.04051
KAVA/USDT,18560,18499,3.11,-0.041626
CELR/USDT,17776,17715,2.66,-0.042216
YFI/USDT,17838,17777,4.22,-0.042741
ME/USDT,13926,13865,0.43,-0.045222
DGB/USDT,17793,17732,7.28,-0.046399
ALGO/USDT,18705,18644,17.79,-0.051754
CAKE/USDT,18706,18645,11.01,-0.052018
ATOM/USDT,18704,18643,29.84,-0.05219
FARTCOIN/USDT,17304,17243,0.49,-0.053322
ENA/USDT,17838,17777,8.74,-0.05388
BRETT/USDT,12870,12809,0.48,-0.05984
BAND/USDT,12842,12781,0.01,-0.062952
ZIL/USDT,18705,18644,7.48,-0.063759
VTHO/USDT,15783,15722,12.15,-0.064014
DOT/USDT,18704,18643,22.78,-0.066348
RVN/USDT,18705,18644,13.31,-0.06854
ANKR/USDT,13582,13521,0.47,-0.069646
MANA/USDT,18705,18644,5.5,-0.070733
NEO/USDT,17915,17854,3.83,-0.071502
FLOKI/USDT,18705,18644,15.23,-0.071568
AXL/USDT,14002,13941,0.44,-0.073572
FET/USDT,18705,18644,31.11,-0.078349
FLOW/USDT,14394,14333,1.12,-0.084714
BAT/USDT,18705,18644,9.71,-0.08548
OP/USDT,18606,18545,11.8,-0.091099
ILV/USDT,17466,17405,1.05,-0.115332
FIL/USDT,18704,18643,18.55,-0.122804
RENDER/USDT,18706,18645,24.7,-0.125662
QNT/USDT,18116,18055,5.13,-0.127583
SAND/USDT,18705,18644,1.05,-0.12836
SEI/USDT,18704,18643,6.45,-0.140862
KSM/USDT,18706,18645,3.26,-0.155025
COTI/USDT,18089,18028,2.17,-0.167139
IOTA/USDT,18541,18480,9.96,-0.17683
APT/USDT,18704,18643,8.33,-0.193603
REQ/USDT,15067,15006,0.8,-0.262068
VIRTUAL/USDT,18706,18645,4.46,-0.27997
OCEAN/USDT,17980,17919,0.01,-0.389986
AUDIO/USDT,18705,18644,3.67,-0.786802
