symbol,date,entry,entry_level,entry_level_type,exit_level_type,psi_in,atr_in,bars_held,exit_type,ret_pct,hold_bin
1INCH/USDT,2026-06-03 16:55:00+00:00,0.08,0.0772,SessionLow,,0.980086,0.00061429,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-05 17:30:00+00:00,0.0697,0.0688,SessionLow,,0.967071,0.00097857,60,time_stop,-1.004304,41-60
1INCH/USDT,2026-06-05 20:50:00+00:00,0.0686,0.068257,Round_5bp,,0.824914,0.00014286,60,time_stop,0.58309,41-60
1INCH/USDT,2026-06-06 08:25:00+00:00,0.0678,0.067461,Round_5bp,,0.808353,2.143e-05,60,time_stop,0.589971,41-60
1INCH/USDT,2026-06-06 09:30:00+00:00,0.0682,0.067859,Round_5bp,,0.809649,5e-05,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-07 01:05:00+00:00,0.0686,0.0678,PDC,,0.918548,5.714e-05,60,time_stop,1.166181,41-60
1INCH/USDT,2026-06-07 01:25:00+00:00,0.069,0.0686,SessionHigh,,0.906344,8.571e-05,60,time_stop,0.57971,41-60
1INCH/USDT,2026-06-07 05:00:00+00:00,0.0694,0.069,PDH,,0.894832,2.857e-05,60,time_stop,1.008646,41-60
1INCH/USDT,2026-06-07 07:55:00+00:00,0.0726,0.0694,SessionHigh,,0.960723,0.00035714,60,time_stop,-3.99449,41-60
1INCH/USDT,2026-06-08 15:15:00+00:00,0.0718,0.0714,PDC,,0.999568,2.857e-05,60,time_stop,1.114206,41-60
1INCH/USDT,2026-06-08 17:25:00+00:00,0.0726,0.0718,SessionHigh,,0.961305,0.00022143,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-09 20:20:00+00:00,0.0702,0.0701,SessionLow,,0.91254,7.14e-06,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-10 13:40:00+00:00,0.0706,0.0693,SessionLow,,0.942738,9.286e-05,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-11 01:40:00+00:00,0.0706,0.0693,PDL,SessionHigh,0.948327,9.286e-05,52,bearish_break_level,-0.708215,41-60
1INCH/USDT,2026-06-11 03:55:00+00:00,0.0731,0.0706,PDH,SessionHigh,0.952174,0.00017857,25,bearish_break_level,-4.103967,21-40
1INCH/USDT,2026-06-11 14:30:00+00:00,0.0718,0.0714,WeeklyOpen,,0.984797,2.857e-05,60,time_stop,1.253482,41-60
1INCH/USDT,2026-06-12 14:35:00+00:00,0.0718,0.0706,SessionLow,,0.860999,8.571e-05,60,time_stop,0.696379,41-60
1INCH/USDT,2026-06-13 11:55:00+00:00,0.0727,0.0723,PDC,,0.999568,2.857e-05,60,time_stop,0.0,41-60
