symbol,n_bars,n_trades,win_rate,avg_ret
TRUMP/USDT,3772,4,75.0,4.395408
KAVA/USDT,1789,1,100.0,3.816975
ENA/USDT,2705,1,100.0,3.063725
JUP/USDT,1408,2,50.0,2.32258
ONDO/USDT,3835,18,61.11,1.053234
APE/USDT,3726,5,60.0,0.633837
ZIL/USDT,3040,1,100.0,0.284091
VET/USDT,3693,6,50.0,0.179292
COMP/USDT,2309,1,0.0,0.0
WIF/USDT,2546,1,0.0,0.0
STORJ/USDT,1067,1,0.0,0.0
QTUM/USDT,1978,1,0.0,0.0
COTI/USDT,1455,2,0.0,0.0
ZRX/USDT,2309,1,0.0,0.0
ARB/USDT,3690,7,42.86,-0.014667
BTC/USDT,3873,258,29.84,-0.051478
BNB/USDT,3873,101,29.7,-0.059404
ETH/USDT,3873,214,33.64,-0.072219
SOL/USDT,3873,171,32.16,-0.075322
ETC/USDT,3512,3,33.33,-0.078274
SHIB/USDT,3868,16,31.25,-0.134904
AVAX/USDT,3873,65,33.85,-0.1365
LINK/USDT,3873,64,35.94,-0.142551
XRP/USDT,3873,155,23.23,-0.158183
DOGE/USDT,3873,68,22.06,-0.178417
DASH/USDT,3840,14,50.0,-0.226786
ADA/USDT,3873,71,30.99,-0.228267
HBAR/USDT,3873,41,26.83,-0.262341
SUI/USDT,3873,78,20.51,-0.302455
LTC/USDT,3873,53,28.3,-0.363119
1INCH/USDT,2159,3,66.67,-0.385315
PENGU/USDT,3874,25,24.0,-0.397504
GRT/USDT,3830,5,0.0,-0.402098
NEAR/USDT,3873,89,29.21,-0.426882
ZEC/USDT,3873,136,20.59,-0.464137
RVN/USDT,3738,9,44.44,-0.471452
ALGO/USDT,3873,19,26.32,-0.49496
VTHO/USDT,3633,1,0.0,-0.498753
XLM/USDT,3873,58,24.14,-0.521759
KSM/USDT,2322,1,0.0,-0.536193
MANA/USDT,2850,1,0.0,-0.554785
BAT/USDT,3470,6,16.67,-0.554859
CRV/USDT,3698,9,44.44,-0.597059
FET/USDT,3873,53,26.42,-0.61615
ATOM/USDT,3873,55,29.09,-0.6792
PEPE/USDT,3873,15,20.0,-0.690693
CHZ/USDT,3300,5,20.0,-0.703413
BONK/USDT,3694,4,25.0,-0.722865
HYPE/USDT,3874,80,21.25,-0.755063
RENDER/USDT,3870,22,31.82,-0.773757
AAVE/USDT,3549,6,50.0,-0.785728
FIL/USDT,3792,13,7.69,-0.797151
INJ/USDT,3873,14,21.43,-0.816946
BCH/USDT,3873,20,30.0,-0.832863
DOT/USDT,3873,29,20.69,-1.099088
UNI/USDT,3660,36,11.11,-1.117662
JTO/USDT,1995,3,66.67,-1.169189
TRX/USDT,3870,22,18.18,-1.179566
ICP/USDT,3873,17,35.29,-1.191718
IOTA/USDT,3843,14,28.57,-1.200657
THETA/USDT,3544,6,16.67,-1.385165
SEI/USDT,2582,2,50.0,-1.423193
LDO/USDT,1434,1,0.0,-1.973684
XDC/USDT,3843,6,33.33,-2.256897
OP/USDT,2905,12,16.67,-2.263316
AUDIO/USDT,2928,4,0.0,-2.444181
FLOKI/USDT,3844,5,20.0,-2.500001
NEO/USDT,2511,2,0.0,-2.651516
QNT/USDT,2953,2,0.0,-2.825642
ZEN/USDT,2931,2,0.0,-3.494624
ONE/USDT,3402,3,0.0,-3.983804
WLD/USDT,3611,16,31.25,-4.608322
VIRTUAL/USDT,2663,3,0.0,-4.762045
DGB/USDT,3548,3,33.33,-5.586126
APT/USDT,2923,5,20.0,-7.271711
