symbol,swing_bars,date,entry,entry_level,entry_lvl_type,exit_lvl_type,psi_in,bars_held,exit_type,ret_pct,hold_bin
1INCH/USDT,10,2026-06-05 17:30:00+00:00,0.0697,0.0688,SwingHigh,SwingHigh,0.967071,11,bearish_break,-4.878049,11-20
1INCH/USDT,10,2026-06-05 19:20:00+00:00,0.0669,0.0663,SwingLow,,0.854704,60,time_stop,3.139013,41-60
AAVE/USDT,10,2026-06-02 03:00:00+00:00,79.43,77.73,SwingHigh,,0.866936,60,time_stop,-2.240967,41-60
AAVE/USDT,10,2026-06-02 22:10:00+00:00,76.48,74.56,SwingLow,,0.911162,60,time_stop,-1.987448,41-60
AAVE/USDT,10,2026-06-03 06:45:00+00:00,76.17,74.72,SwingLow,SwingHigh,0.900276,43,bearish_break,0.065643,41-60
AAVE/USDT,10,2026-06-12 03:00:00+00:00,64.61,64.07,SwingLow,,0.846717,60,time_stop,0.866739,41-60
AAVE/USDT,10,2026-06-13 21:40:00+00:00,66.83,66.74,SwingLow,,0.96767,60,time_stop,0.164597,41-60
ADA/USDT,10,2026-06-02 03:15:00+00:00,0.22828,0.2279,SwingLow,SwingLow,0.713215,4,bearish_break,-0.367969,3-5
ADA/USDT,10,2026-06-02 04:00:00+00:00,0.22846,0.2279,SwingLow,,0.709913,60,time_stop,-1.834019,41-60
ADA/USDT,10,2026-06-02 08:25:00+00:00,0.22438,0.22404,SwingLow,SwingLow,0.719818,43,bearish_break,-0.632855,41-60
ADA/USDT,10,2026-06-02 10:55:00+00:00,0.22457,0.22404,SwingLow,SwingLow,0.722629,13,bearish_break,-0.716926,11-20
ADA/USDT,10,2026-06-04 07:30:00+00:00,0.19643,0.19593,SwingLow,,0.748815,60,time_stop,-2.138166,41-60
ADA/USDT,10,2026-06-04 11:45:00+00:00,0.18947,0.18876,SwingLow,SwingLow,0.734663,28,bearish_break,-0.480287,21-40
ADA/USDT,10,2026-06-04 12:15:00+00:00,0.18926,0.18876,SwingLow,SwingLow,0.780422,22,bearish_break,-0.369862,21-40
ADA/USDT,10,2026-06-04 17:30:00+00:00,0.18863,0.18693,SwingLow,SwingLow,0.71123,8,bearish_break,-1.001962,6-10
ADA/USDT,10,2026-06-04 18:20:00+00:00,0.18807,0.18693,SwingLow,SwingHigh,0.716136,9,bearish_break,-0.552986,6-10
ADA/USDT,10,2026-06-04 22:40:00+00:00,0.18084,0.18046,SwingLow,,0.680237,60,time_stop,-11.004203,41-60
ADA/USDT,10,2026-06-05 11:35:00+00:00,0.16394,0.16341,SwingHigh,SwingLow,0.758658,42,bearish_break,-2.860803,41-60
ADA/USDT,10,2026-06-05 13:10:00+00:00,0.16401,0.16341,SwingHigh,SwingLow,0.696928,23,bearish_break,-2.902262,21-40
ADA/USDT,10,2026-06-05 19:45:00+00:00,0.16171,0.15882,SwingHigh,SwingLow,0.757939,2,bearish_break,-0.735885,1-2
ADA/USDT,10,2026-06-05 20:15:00+00:00,0.16146,0.16061,SwingHigh,SwingHigh,0.730435,22,bearish_break,-1.36876,21-40
ADA/USDT,10,2026-06-05 21:50:00+00:00,0.16386,0.16338,SwingLow,SwingHigh,0.72655,3,bearish_break,-2.813377,3-5
ADA/USDT,10,2026-06-05 22:15:00+00:00,0.16061,0.15925,SwingLow,SwingHigh,0.702439,1,bearish_break,-0.379802,1-2
ADA/USDT,10,2026-06-05 22:35:00+00:00,0.16061,0.15925,SwingLow,SwingHigh,0.701412,2,bearish_break,-0.217919,1-2
ADA/USDT,10,2026-06-06 00:30:00+00:00,0.16045,0.15925,SwingLow,SwingHigh,0.729337,9,bearish_break,0.09972,6-10
ADA/USDT,10,2026-06-06 05:30:00+00:00,0.15328,0.15259,SwingLow,,0.722535,60,time_stop,0.835073,41-60
ADA/USDT,10,2026-06-06 22:15:00+00:00,0.15695,0.15655,SwingHigh,SwingHigh,0.702538,5,bearish_break,-0.605288,3-5
ADA/USDT,10,2026-06-07 04:40:00+00:00,0.16216,0.16165,SwingHigh,SwingHigh,0.699296,8,bearish_break,-0.72151,6-10
ADA/USDT,10,2026-06-07 04:55:00+00:00,0.16282,0.16165,SwingHigh,SwingHigh,0.692735,5,bearish_break,-1.123941,3-5
ADA/USDT,10,2026-06-07 17:00:00+00:00,0.16275,0.16236,SwingLow,SwingLow,0.709326,23,bearish_break,-0.466974,21-40
ADA/USDT,10,2026-06-08 01:35:00+00:00,0.16256,0.16215,SwingHigh,SwingHigh,0.700162,22,bearish_break,0.504429,21-40
ADA/USDT,10,2026-06-08 12:55:00+00:00,0.16762,0.16704,SwingHigh,SwingHigh,0.722402,6,bearish_break,-0.847154,6-10
ADA/USDT,10,2026-06-08 16:05:00+00:00,0.17023,0.16965,SwingHigh,,0.712275,60,time_stop,1.080891,41-60
ADA/USDT,10,2026-06-08 17:25:00+00:00,0.16871,0.16704,SwingHigh,SwingHigh,0.704651,56,bearish_break,1.630016,41-60
ADA/USDT,10,2026-06-08 22:50:00+00:00,0.172,0.17175,SwingHigh,,0.710848,60,time_stop,-3.395349,41-60
ADA/USDT,10,2026-06-09 01:45:00+00:00,0.16682,0.16656,SwingLow,SwingLow,0.700222,32,bearish_break,-0.46757,21-40
ADA/USDT,10,2026-06-09 01:55:00+00:00,0.16684,0.16656,SwingLow,SwingLow,0.708706,30,bearish_break,-0.479501,21-40
ADA/USDT,10,2026-06-09 08:50:00+00:00,0.16945,0.16923,SwingLow,SwingLow,0.743064,6,bearish_break,-0.182945,6-10
ADA/USDT,10,2026-06-10 01:00:00+00:00,0.16664,0.16636,SwingLow,SwingLow,0.710248,8,bearish_break,-1.026164,6-10
