symbol,vol_bars,n_trades,win_rate,avg_ret
BTC/USDT,228,110,48.18,0.0404
CORE/USDT,228,108,47.22,-1.9289
SOL/USDT,228,106,47.17,0.0375
ETH/USDT,228,106,54.72,0.0442
JUP/USDT,228,105,41.9,-0.8783
BLUR/USDT,228,105,47.62,-0.2186
WLD/USDT,228,104,54.81,1.5362
FET/USDT,228,104,42.31,-0.7456
APE/USDT,228,102,54.9,-0.5696
WIF/USDT,228,102,46.08,-0.7113
W/USDT,228,102,40.2,-1.4068
STRK/USDT,228,102,48.04,-0.7528
ARB/USDT,228,102,47.06,-0.3614
JOE/USDT,228,102,41.18,-0.3537
WOO/USDT,228,101,47.52,0.0463
ICX/USDT,228,101,55.45,0.7598
NEO/USDT,228,101,44.55,-0.0696
GALA/USDT,228,101,42.57,-0.8602
ILV/USDT,228,100,54.0,0.7958
BNB/USDT,228,100,58.0,0.9383
MINA/USDT,228,100,48.0,0.2312
ZK/USDT,226,100,52.0,0.5988
ETHFI/USDT,228,100,56.0,0.827
AR/USDT,228,99,34.34,-2.7395
PEPE/USDT,228,99,47.47,-0.2515
CFG/USDT,228,99,37.37,-2.1663
MAGIC/USDT,228,99,39.39,-1.7636
METIS/USDT,228,99,44.44,0.4084
TRX/USDT,228,99,46.46,2.7309
THETA/USDT,228,99,46.46,0.2217
SHIB/USDT,228,99,57.58,1.0705
SSV/USDT,228,98,42.86,-1.1016
GRT/USDT,228,98,42.86,-1.9602
ATOM/USDT,228,98,46.94,-0.6281
BONK/USDT,228,97,41.24,-0.4762
AXS/USDT,228,97,55.67,1.4025
FIL/USDT,228,97,46.39,-0.8392
ORDI/USDT,228,96,55.21,0.6161
CHZ/USDT,228,96,38.54,-2.0632
ONE/USDT,228,96,56.25,1.4864
BAND/USDT,228,95,49.47,-0.4227
GMT/USDT,228,95,45.26,-0.8647
ZIL/USDT,228,95,51.58,0.9418
ENJ/USDT,228,95,40.0,-0.6079
IOTA/USDT,228,95,46.32,0.4717
CRV/USDT,228,95,51.58,3.4011
AVAX/USDT,228,95,47.37,0.6414
INJ/USDT,228,95,51.58,0.6767
LSK/USDT,228,94,44.68,-0.3235
AEVO/USDT,228,94,47.87,-0.4361
TON/USDT,228,94,37.23,-0.5747
MEME/USDT,228,94,38.3,-2.6147
ADA/USDT,228,94,47.87,-0.2615
LQTY/USDT,228,94,56.38,2.2882
OP/USDT,228,94,45.74,-0.6659
SUI/USDT,228,94,53.19,1.5744
AAVE/USDT,228,94,44.68,-0.9609
ICP/USDT,228,93,44.09,-0.0039
TIA/USDT,228,93,46.24,0.0796
DOGE/USDT,228,93,60.22,5.1565
NOT/USDT,228,92,53.26,-0.248
LINK/USDT,228,92,42.39,-0.1126
LTC/USDT,228,92,47.83,-1.0032
TNSR/USDT,228,91,60.44,2.0195
RON/USDT,228,91,50.55,0.7134
QTUM/USDT,228,91,54.95,0.5893
CELO/USDT,228,91,37.36,-0.9139
ETC/USDT,228,91,49.45,0.3993
ACE/USDT,228,91,46.15,-0.7395
NEAR/USDT,228,91,41.76,-1.6474
RENDER/USDT,199,91,43.96,-1.007
ZETA/USDT,228,90,53.33,0.884
PYTH/USDT,228,90,46.67,-1.4965
SUSHI/USDT,228,90,57.78,2.0743
FLOKI/USDT,228,90,43.33,-0.8436
FLOW/USDT,228,90,47.78,-0.1537
ASTR/USDT,228,90,56.67,1.4484
DYDX/USDT,228,90,58.89,1.882
YGG/USDT,228,89,44.94,-0.3279
ENS/USDT,228,89,51.69,1.5985
NMR/USDT,228,88,51.14,-0.1182
AGLD/USDT,228,88,54.55,1.7166
SKL/USDT,228,88,46.59,-0.1844
IMX/USDT,228,88,44.32,-1.3084
KNC/USDT,228,87,44.83,-0.0115
DGB/USDT,228,87,49.43,0.7349
