symbol,n_bars,n_trades,win_rate,avg_ret
JTO/USDT,228,133,48.87,-0.0129
ASTR/USDT,228,130,46.15,0.0078
DOGE/USDT,228,130,45.38,0.0075
APE/USDT,228,129,29.46,-0.0117
RON/USDT,228,129,30.23,-0.0018
AGLD/USDT,228,128,21.88,-0.0268
ZEC/USDT,228,127,50.39,0.0582
SAND/USDT,228,127,44.09,0.0062
XLM/USDT,228,126,38.1,0.0001
ARB/USDT,228,125,55.2,0.0187
APT/USDT,228,125,45.6,0.0229
AR/USDT,228,124,45.16,-0.003
METIS/USDT,228,124,44.35,0.0225
NEIRO/USDT,228,124,41.13,0.0429
LDO/USDT,228,123,53.66,0.056
ORDI/USDT,228,123,51.22,-0.0023
LTC/USDT,228,123,56.1,0.0133
PYTH/USDT,228,122,42.62,-0.028
TRB/USDT,228,121,43.8,-0.0077
ONDO/USDT,228,121,51.24,0.0269
CRO/USDT,228,121,41.32,0.0415
ETC/USDT,228,120,48.33,0.0125
HBAR/USDT,228,120,38.33,-0.0155
STX/USDT,228,119,47.06,-0.0018
AVAX/USDT,228,119,56.3,0.0063
EIGEN/USDT,228,119,30.25,-0.1377
BIO/USDT,228,118,44.92,0.0095
TNSR/USDT,228,118,49.15,0.0417
SEI/USDT,228,118,44.92,0.0018
1INCH/USDT,228,118,38.14,0.0158
KSM/USDT,228,118,38.14,-0.004
CORE/USDT,228,117,61.54,0.0091
DYDX/USDT,228,117,34.19,-0.0228
FLOKI/USDT,228,117,42.74,-0.0044
ADA/USDT,228,117,46.15,-0.0018
W/USDT,228,116,43.1,-0.0051
TRUMP/USDT,228,116,45.69,0.0229
ATOM/USDT,228,116,40.52,-0.009
HYPE/USDT,228,116,62.93,0.0792
ENJ/USDT,228,116,41.38,0.0094
ICP/USDT,228,115,46.09,0.0029
ETH/USDT,228,115,51.3,0.0045
UNI/USDT,228,114,42.11,-0.0225
ETHFI/USDT,228,114,40.35,0.0064
RVN/USDT,228,114,43.86,0.0165
JUP/USDT,228,114,48.25,-0.0029
MINA/USDT,228,113,36.28,-0.0402
CRV/USDT,228,113,45.13,-0.0129
BLUR/USDT,228,113,44.25,-0.0095
NEAR/USDT,228,113,48.67,0.0024
MAGIC/USDT,228,113,35.4,-0.0297
ALGO/USDT,228,112,42.86,0.0163
AEVO/USDT,228,111,39.64,-0.0046
GRASS/USDT,228,111,42.34,0.0801
FIL/USDT,228,111,29.73,-0.0279
SOL/USDT,228,110,43.64,-0.0047
BNB/USDT,228,110,40.0,0.0003
STRK/USDT,228,110,40.91,-0.0114
CELO/USDT,228,110,52.73,0.0245
BTC/USDT,228,109,49.54,-0.0006
SSV/USDT,228,109,55.96,0.0487
TON/USDT,228,109,57.8,0.0266
WOO/USDT,228,109,42.2,0.0104
INJ/USDT,228,109,51.38,-0.0089
NEO/USDT,228,109,50.46,0.0151
BONK/USDT,228,109,40.37,-0.0485
WIF/USDT,228,109,38.53,-0.01
SNX/USDT,228,108,43.52,-0.0012
ONT/USDT,228,108,24.07,-0.0477
WLD/USDT,228,108,43.52,-0.0143
DOGS/USDT,228,108,39.81,0.0245
XRP/USDT,228,107,42.99,-0.0017
FLR/USDT,228,107,41.12,-0.0044
ACE/USDT,228,107,47.66,0.0087
FET/USDT,228,107,37.38,-0.0067
MANA/USDT,228,107,35.51,0.0013
OP/USDT,228,107,61.68,0.0329
PENGU/USDT,228,107,50.47,0.0254
AAVE/USDT,228,107,43.93,-0.0063
MEME/USDT,228,106,29.25,-0.0251
ENA/USDT,228,106,51.89,0.0278
KNC/USDT,228,106,34.91,-0.0092
UMA/USDT,228,105,44.76,-0.0018
SUSHI/USDT,228,105,34.29,-0.0192
IMX/USDT,228,105,40.0,0.0009
SHIB/USDT,228,105,47.62,-0.0093
ZRX/USDT,228,104,26.92,-0.0463
NOT/USDT,228,104,54.81,0.049
PNUT/USDT,228,104,48.08,0.0334
DOT/USDT,228,103,48.54,0.0057
ARKM/USDT,228,103,53.4,0.1498
GALA/USDT,228,103,50.49,0.0156
STORJ/USDT,228,102,29.41,-0.0209
COMP/USDT,228,102,41.18,0.0453
TIA/USDT,228,101,53.47,0.0215
VIRTUAL/USDT,228,101,49.5,0.0496
PEPE/USDT,228,101,38.61,-0.0121
BAND/USDT,228,101,40.59,0.0185
THETA/USDT,228,100,44.0,-0.01
ENS/USDT,228,100,45.0,-0.0371
ZETA/USDT,228,100,40.0,-0.0343
SATS/USDT,228,99,49.49,0.0096
ID/USDT,228,97,27.84,-0.0065
SUI/USDT,228,97,36.08,-0.031
ZRO/USDT,228,96,37.5,0.0321
BERA/USDT,228,96,44.79,0.0401
YGG/USDT,228,96,35.42,-0.02
BAT/USDT,228,96,23.96,-0.0082
RENDER/USDT,228,95,42.11,0.0887
GRT/USDT,228,95,42.11,0.0356
FLOW/USDT,228,94,54.26,0.0163
JOE/USDT,228,94,28.72,-0.0008
CHZ/USDT,228,93,33.33,-0.055
GMT/USDT,228,93,24.73,-0.0033
TRX/USDT,228,93,43.01,-0.0017
PENDLE/USDT,228,92,33.7,0.086
AXS/USDT,228,92,51.09,0.0081
SKL/USDT,228,92,29.35,-0.0422
ONE/USDT,228,92,36.96,0.0146
IOTA/USDT,228,92,55.43,0.0556
BCH/USDT,228,92,33.7,-0.0227
ZIL/USDT,228,91,32.97,0.0106
LINK/USDT,228,91,47.25,-0.0188
EGLD/USDT,228,90,38.89,0.0293
DASH/USDT,228,87,26.44,0.0123
ICX/USDT,228,87,22.99,0.0078
LRC/USDT,228,87,29.89,-0.0017
LQTY/USDT,228,86,37.21,0.0539
QTUM/USDT,228,83,27.71,-0.0024
ZEN/USDT,228,82,39.02,0.1013
LSK/USDT,228,81,39.51,0.0489
BOME/USDT,228,81,35.8,0.112
DGB/USDT,228,81,23.46,-0.0249
WIN/USDT,228,71,11.27,-0.0142
NMR/USDT,228,67,16.42,-0.0107
AIXBT/USDT,228,66,30.3,0.0371
YFI/USDT,228,63,25.4,0.0108
CFG/USDT,228,59,20.34,0.0026
ZK/USDT,228,58,39.66,0.0855
ACT/USDT,228,53,32.08,0.0528
ILV/USDT,228,51,13.73,-0.017
ME/USDT,228,46,23.91,0.1849
SCR/USDT,228,43,27.91,0.1055
GOAT/USDT,228,40,30.0,0.0811
PIXEL/USDT,228,33,9.09,0.0404
CELR/USDT,228,30,23.33,-0.0186
PHA/USDT,228,27,11.11,0.0204
