symbol,date,direction,psi,entry,exit,bars_held,exhausted,ret_pct,relvol,psi_bin,rv_bin
BTC/USDT,2024-08-28,LONG,0.6835,59034.0,59352.1,1,True,0.5388,0.2357,.60-.70,
BTC/USDT,2024-09-01,LONG,0.6977,57296.1,57484.0,2,True,0.3279,1.1055,.60-.70,1-1.5x
BTC/USDT,2024-09-02,LONG,0.5797,59143.2,57484.0,1,True,-2.8054,1.222,.55-.60,1-1.5x
BTC/USDT,2024-09-04,LONG,0.6889,57970.0,56176.0,1,True,-3.0947,0.3267,.60-.70,
BTC/USDT,2024-09-06,LONG,0.5536,53958.8,54875.9,2,True,1.6996,1.4441,.55-.60,1-1.5x
BTC/USDT,2024-09-07,LONG,0.6478,54155.8,54875.9,1,True,1.3297,0.1342,.60-.70,
BTC/USDT,2024-09-09,LONG,0.7465,57030.8,59991.8,5,False,5.1919,1.3693,.70-.80,1-1.5x
BTC/USDT,2024-09-10,LONG,0.5517,57639.7,59991.8,4,True,4.0807,0.389,.55-.60,
BTC/USDT,2024-09-11,LONG,0.7016,57338.3,59991.8,3,True,4.6278,0.1912,.70-.80,
BTC/USDT,2024-09-12,LONG,0.7058,58132.5,59991.8,2,True,3.1984,0.5921,.70-.80,
BTC/USDT,2024-09-17,LONG,0.5658,60314.6,63574.2,5,False,5.4043,1.5162,.55-.60,1.5-2x
BTC/USDT,2024-09-18,LONG,0.6893,61767.7,63336.1,5,False,2.5392,0.9893,.60-.70,
BTC/USDT,2024-09-19,LONG,0.7615,62956.3,64275.8,5,False,2.0959,0.7824,.70-.80,
BTC/USDT,2024-09-20,LONG,0.6069,63200.0,64275.8,4,True,1.7022,0.1577,.60-.70,
BTC/USDT,2024-09-21,LONG,0.6727,63348.0,64275.8,3,True,1.4646,0.1002,.60-.70,
BTC/USDT,2024-09-22,LONG,0.6883,63574.2,64275.8,2,True,1.1036,0.1588,.60-.70,
BTC/USDT,2024-09-23,LONG,0.6083,63336.1,64275.8,1,True,1.4837,0.1759,.60-.70,
BTC/USDT,2024-09-29,LONG,0.6957,65603.5,63327.5,1,True,-3.4693,0.2245,.60-.70,
BTC/USDT,2024-10-03,LONG,0.7736,60753.8,62058.6,2,True,2.1477,0.0943,.70-.80,
BTC/USDT,2024-10-04,LONG,0.7841,62094.1,62058.6,1,True,-0.0572,1.1036,.70-.80,1-1.5x
BTC/USDT,2024-10-07,LONG,0.7981,62222.1,62155.9,1,True,-0.1064,0.5358,.70-.80,
BTC/USDT,2024-10-11,LONG,0.6854,62546.0,66089.8,3,True,5.6659,1.8979,.60-.70,1.5-2x
BTC/USDT,2024-10-12,LONG,0.6878,63209.9,66089.8,2,True,4.5561,0.5426,.60-.70,
BTC/USDT,2024-10-17,LONG,0.7581,67426.5,67421.2,5,False,-0.0079,0.1311,.70-.80,
BTC/USDT,2024-10-18,LONG,0.6618,68431.4,67421.2,4,True,-1.4762,0.6963,.60-.70,
BTC/USDT,2024-10-19,LONG,0.7365,68366.2,67421.2,3,True,-1.3823,0.0446,.70-.80,
BTC/USDT,2024-10-20,LONG,0.8352,69035.6,67421.2,2,True,-2.3385,0.5006,>.80,
BTC/USDT,2024-10-21,LONG,0.6385,67371.7,67421.2,1,True,0.0735,1.3426,.60-.70,1-1.5x
BTC/USDT,2024-10-23,LONG,0.7103,66666.0,68198.5,1,True,2.2988,0.6135,.70-.80,
BTC/USDT,2024-10-26,LONG,0.7308,67095.9,68022.9,1,True,1.3816,0.3024,.70-.80,
BTC/USDT,2024-10-28,LONG,0.8322,69961.2,72345.2,2,True,3.4076,1.4481,>.80,1-1.5x
BTC/USDT,2024-11-01,LONG,0.8498,69495.5,68769.3,2,True,-1.045,0.557,>.80,
BTC/USDT,2024-11-02,LONG,0.6838,69371.0,68769.3,1,True,-0.8674,0.0873,.60-.70,
BTC/USDT,2024-11-08,LONG,0.6356,76499.1,87944.5,4,True,14.9615,0.3154,.60-.70,
BTC/USDT,2024-11-09,LONG,0.9255,76675.0,87944.5,3,True,14.6978,0.0861,>.80,
BTC/USDT,2024-11-10,LONG,0.6249,80360.0,87944.5,2,True,9.4382,1.7581,.60-.70,1.5-2x
BTC/USDT,2024-11-11,LONG,0.634,88640.0,87944.5,1,True,-0.7846,3.0003,.60-.70,3-5x
BTC/USDT,2024-11-15,LONG,0.9401,91022.9,94286.8,5,False,3.5858,1.1895,>.80,1-1.5x
BTC/USDT,2024-11-16,LONG,0.7928,90583.3,94286.8,4,True,4.0885,0.1347,.70-.80,
BTC/USDT,2024-11-17,LONG,0.8791,89860.0,94286.8,3,True,4.9263,0.2215,>.80,
BTC/USDT,2024-11-18,LONG,0.7993,90464.0,94286.8,2,True,4.2258,0.1892,.70-.80,
BTC/USDT,2024-11-19,LONG,0.8313,92307.9,94286.8,1,True,2.1438,0.5767,>.80,
BTC/USDT,2024-11-22,LONG,0.6561,98891.8,91960.1,4,True,-7.0094,0.1732,.60-.70,
BTC/USDT,2024-11-23,LONG,0.7774,97666.5,91960.1,3,True,-5.8427,0.3653,.70-.80,
BTC/USDT,2024-11-24,LONG,0.64,97899.9,91960.1,2,True,-6.0672,0.0717,.60-.70,
BTC/USDT,2024-11-25,LONG,0.713,93002.0,91960.1,1,True,-1.1203,1.3634,.70-.80,1-1.5x
BTC/USDT,2024-11-27,LONG,0.6337,95848.1,96409.0,3,True,0.5852,1.2662,.60-.70,1-1.5x
BTC/USDT,2024-11-28,LONG,0.7496,95636.7,96409.0,2,True,0.8075,0.0658,.70-.80,
BTC/USDT,2024-11-29,LONG,0.7115,97456.1,96409.0,1,True,-1.0744,0.5679,.70-.80,
BTC/USDT,2024-12-07,LONG,0.637,99835.4,96593.2,3,True,-3.2475,0.0457,.60-.70,
BTC/USDT,2024-12-08,LONG,0.8719,101107.7,96593.2,2,True,-4.465,0.5717,>.80,
BTC/USDT,2024-12-09,LONG,0.7425,97267.2,96593.2,1,True,-0.6929,1.5804,.70-.80,1.5-2x
BTC/USDT,2024-12-12,LONG,0.769,100001.1,106066.0,4,True,6.0648,0.4553,.70-.80,
BTC/USDT,2024-12-13,LONG,0.7633,101418.6,106066.0,3,True,4.5824,0.5854,.70-.80,
BTC/USDT,2024-12-14,LONG,0.6126,101421.3,106066.0,2,True,4.5796,0.0011,.60-.70,
BTC/USDT,2024-12-15,LONG,0.5901,104477.4,106066.0,1,True,1.5205,1.3923,.55-.60,1-1.5x
BTC/USDT,2024-12-17,LONG,0.5971,106128.4,97806.4,3,True,-7.8414,0.0298,.55-.60,
BTC/USDT,2024-12-18,LONG,0.7951,100213.1,97806.4,2,True,-2.4016,2.3254,.70-.80,2-3x
BTC/USDT,2024-12-19,LONG,0.7778,97458.1,97806.4,1,True,0.3574,1.1201,.70-.80,1-1.5x
BTC/USDT,2024-12-23,LONG,0.8058,94884.1,94304.1,4,True,-0.6113,0.1231,>.80,
BTC/USDT,2024-12-24,LONG,0.5629,98661.3,94304.1,3,True,-4.4163,1.5605,.55-.60,1.5-2x
BTC/USDT,2024-12-25,LONG,0.5615,99440.3,94304.1,2,True,-5.1651,0.3127,.55-.60,
BTC/USDT,2024-12-26,LONG,0.7388,95783.3,94304.1,1,True,-1.5443,1.4261,.70-.80,1-1.5x
BTC/USDT,2024-12-30,LONG,0.6208,92796.4,94589.5,2,True,1.9323,0.4046,.60-.70,
BTC/USDT,2024-12-31,LONG,0.5671,93585.1,94589.5,1,True,1.0732,0.3826,.55-.60,
BTC/USDT,2025-01-02,LONG,0.6644,96988.4,96957.9,5,False,-0.0314,1.1056,.60-.70,1-1.5x
BTC/USDT,2025-01-03,LONG,0.569,98183.4,95037.0,5,False,-3.2046,0.532,.55-.60,
BTC/USDT,2025-01-04,LONG,0.5883,98221.9,95037.0,4,True,-3.2426,0.0179,.55-.60,
BTC/USDT,2025-01-05,LONG,0.6787,98363.9,95037.0,3,True,-3.3822,0.067,.60-.70,
BTC/USDT,2025-01-07,LONG,0.6114,96957.9,95037.0,1,True,-1.9812,2.2315,.60-.70,2-3x
BTC/USDT,2025-01-10,LONG,0.7509,94726.5,94549.9,2,True,-0.1864,0.9761,.70-.80,
BTC/USDT,2025-01-11,LONG,0.6685,94612.5,94549.9,1,True,-0.0662,0.0511,.60-.70,
BTC/USDT,2025-01-13,LONG,0.8001,94538.5,104551.6,5,False,10.5916,0.0056,>.80,
BTC/USDT,2025-01-16,LONG,0.7657,99990.8,102264.3,4,True,2.2737,0.2283,.70-.80,
BTC/USDT,2025-01-17,LONG,0.5783,104084.4,102264.3,3,True,-1.7487,1.7355,.55-.60,1.5-2x
BTC/USDT,2025-01-18,LONG,0.6105,104551.6,102264.3,2,True,-2.1877,0.1946,.60-.70,
BTC/USDT,2025-01-19,LONG,0.6122,101334.0,102264.3,1,True,0.9181,1.2694,.60-.70,1-1.5x
BTC/USDT,2025-01-22,LONG,0.618,103704.1,103914.8,1,True,0.2032,0.896,.60-.70,
BTC/USDT,2025-01-27,LONG,0.666,102076.1,101349.3,1,True,-0.712,0.2386,.60-.70,
BTC/USDT,2025-01-30,LONG,0.8877,104727.2,100633.2,2,True,-3.9092,0.4812,>.80,
BTC/USDT,2025-01-31,LONG,0.5526,102439.9,100633.2,1,True,-1.7637,1.0512,.55-.60,1-1.5x
BTC/USDT,2025-02-03,LONG,0.8236,101337.5,96616.1,2,True,-4.6591,1.5843,>.80,1.5-2x
BTC/USDT,2025-02-06,LONG,0.9472,96554.7,96504.1,1,True,-0.0524,0.0302,>.80,
BTC/USDT,2025-02-11,LONG,0.5792,95779.9,97504.0,3,True,1.8001,0.9765,.55-.60,
BTC/USDT,2025-02-12,LONG,0.5661,97870.1,97504.0,2,True,-0.3741,1.1956,.55-.60,1-1.5x
BTC/USDT,2025-02-13,LONG,0.7839,96617.0,97504.0,1,True,0.9181,0.7053,.70-.80,
BTC/USDT,2025-02-15,LONG,0.6008,97587.3,95778.3,2,True,-1.8537,0.0476,.60-.70,
BTC/USDT,2025-02-16,LONG,0.6564,96105.6,95778.3,1,True,-0.3406,0.8351,.60-.70,
BTC/USDT,2025-02-19,LONG,0.5572,96644.3,91534.5,5,False,-5.2872,0.6032,.55-.60,
BTC/USDT,2025-02-20,LONG,0.7113,98307.9,88680.7,5,False,-9.7929,1.0015,.70-.80,1-1.5x
BTC/USDT,2025-02-21,LONG,0.5585,96172.9,88680.7,4,True,-7.7903,1.2476,.55-.60,1-1.5x
BTC/USDT,2025-02-22,LONG,0.6183,96552.1,88680.7,3,True,-8.1525,0.2429,.60-.70,
